Events,Gold,Silver,Bronze,Total
Athletics,5,2,5,12
Boxing,2,3,4,9
Tennis,2,1,2,5
Kabaddi,2,0,0,2
Shooting,1,3,4,8
Rowing,1,3,1,5
Cue Sports,1,1,2,4
Archery,0,1,2,3
Wushu,0,1,1,2
Golf,0,1,0,1
Sailing,0,1,0,1
Squash,0,0,3,3
Wrestling,0,0,3,3
Board games,0,0,2,2
Roller Sports,0,0,2,2
Swimming,0,0,1,1
Gymnastics,0,0,1,1
Hockey,0,0,1,1
